Year,Week,Density,Station_ID,Species,station_week
2010,27,7850.819801,C9,DAPHNIA (HYALODAPHNIA) GALEATA MENDOTAE,1
1986,19,18.4964242,K45,BOSMINA (BOSMINA) LONGIROSTRIS,3
1986,19,18.4964242,K45,DAPHNIA (HYALODAPHNIA) GALEATA MENDOTAE,3
1986,19,18.4964242,K45,EUBOSMINA (EUBOSMINA) COREGONI,3
1986,19,92.48212099,K45,LEPTODIAPTOMUS MINUTUS,3
1986,19,906.3247857,K45,LEPTODIAPTOMUS SICILIS,3
1986,19,277.446363,K45,DIACYCLOPS BICUSPIDATUS THOMASI,3
1986,19,18.4964242,K45,MESOCYCLOPS EDAX,3
1986,19,36.99284839,K45,DAPHNIA (DAPHNIA) PULICARIA,3
1986,19,51.12964561,C9,DAPHNIA (HYALODAPHNIA) GALEATA MENDOTAE,3
1986,19,102.2592912,C9,LEPTODIAPTOMUS SICILIS,3
1986,19,818.0743297,C9,DIACYCLOPS BICUSPIDATUS THOMASI,3
1986,19,705.1891682,K42,LEPTODIAPTOMUS SICILIS,3
1986,19,367.9247834,K42,DIACYCLOPS BICUSPIDATUS THOMASI,3
1986,19,15.33019931,K42,TROPOCYCLOPS PRASINUS PRASINUS,3
1986,19,15.33019931,K42,DAPHNIA (DAPHNIA) PULICARIA,3
1986,21,209.0082558,C9,BOSMINA (BOSMINA) LONGIROSTRIS,3
1986,21,209.0082558,C9,DAPHNIA (DAPHNIA) RETROCURVA,3
1986,21,209.0082558,C9,EUBOSMINA (EUBOSMINA) COREGONI,3
1986,21,418.0165117,C9,LEPTODIAPTOMUS MINUTUS,3
1986,21,836.0330233,C9,LEPTODIAPTOMUS SICILIS,3
1986,21,209.0082558,C9,DIACYCLOPS BICUSPIDATUS THOMASI,3
1986,21,209.0082558,C9,TROPOCYCLOPS PRASINUS PRASINUS,3
1986,21,75.22190462,K42,DAPHNIA (DAPHNIA) RETROCURVA,3
1986,21,150.4438092,K42,EUBOSMINA (EUBOSMINA) COREGONI,3
1986,21,75.22190462,K42,LEPTODIAPTOMUS MINUTUS,3
1986,21,376.1095231,K42,LEPTODIAPTOMUS SICILIS,3
1986,21,451.3314277,K42,DIACYCLOPS BICUSPIDATUS THOMASI,3
1986,21,248.447205,K45,BOSMINA (BOSMINA) LONGIROSTRIS,3
1986,21,1366.459627,K45,LEPTODIAPTOMUS SICILIS,3
1986,21,372.6708075,K45,DIACYCLOPS BICUSPIDATUS THOMASI,3
1986,21,124.2236025,K45,TROPOCYCLOPS PRASINUS PRASINUS,3
1986,21,7733.305466,C9,DAPHNIA (DAPHNIA) PULICARIA,3
1986,21,1880.547615,K42,DAPHNIA (DAPHNIA) PULICARIA,3
1986,21,869.5652174,K45,DAPHNIA (DAPHNIA) PULICARIA,3
1986,24,1096.516276,C9,BOSMINA (BOSMINA) LONGIROSTRIS,3
1986,24,91.37635637,C9,DAPHNIA (HYALODAPHNIA) GALEATA MENDOTAE,3
1986,24,456.8817818,C9,DAPHNIA (DAPHNIA) RETROCURVA,3
1986,24,913.7635637,C9,EUBOSMINA (EUBOSMINA) COREGONI,3
1986,24,182.7527127,C9,LEPTODIAPTOMUS MINUTUS,3
1986,24,91.37635637,C9,LEPTODIAPTOMUS SICILIS,3
1986,24,91.37635637,C9,EPISCHURA LACUSTRIS COPEPODID,3
1986,24,91.37635637,C9,DIACYCLOPS BICUSPIDATUS THOMASI,3
1986,24,91.37635637,C9,MESOCYCLOPS EDAX,3
1986,24,127.8772379,K42,BOSMINA (BOSMINA) LONGIROSTRIS,3
1986,24,127.8772379,K42,EUBOSMINA (EUBOSMINA) COREGONI,3
1986,24,191.8158568,K42,DIACYCLOPS BICUSPIDATUS THOMASI,3
1986,24,113.7495962,K45,BOSMINA (BOSMINA) LONGIROSTRIS,3
1986,24,227.4991924,K45,EUBOSMINA (EUBOSMINA) COREGONI,3
1986,24,113.7495962,K45,LEPTODIAPTOMUS SICILIS,3
1986,24,227.4991924,K45,DIACYCLOPS BICUSPIDATUS THOMASI,3
1986,24,4477.441462,C9,DAPHNIA (DAPHNIA) PULICARIA,3
