Year,Week,Density,Station_ID,Species,station_week
1986,19,36.99284839,K45,DAPHNIA (DAPHNIA) PULICARIA,5
1986,19,204.3944813,S15,DAPHNIA (DAPHNIA) PULICARIA,5
1986,19,705.1891682,K42,LEPTODIAPTOMUS SICILIS,5
1986,19,15.33019931,K42,DAPHNIA (DAPHNIA) PULICARIA,5
1986,19,122.6366888,S15,EUBOSMINA (EUBOSMINA) COREGONI,5
1986,19,245.2733776,S15,LEPTODIAPTOMUS MINUTUS,5
1986,19,1185.487992,S15,LEPTODIAPTOMUS SICILIS,5
1986,19,899.3357179,S15,DIACYCLOPS BICUSPIDATUS THOMASI,5
1986,19,18.4964242,K45,BOSMINA (BOSMINA) LONGIROSTRIS,5
1986,19,18.4964242,K45,DAPHNIA (HYALODAPHNIA) GALEATA MENDOTAE,5
1986,19,18.4964242,K45,EUBOSMINA (EUBOSMINA) COREGONI,5
1986,19,92.48212099,K45,LEPTODIAPTOMUS MINUTUS,5
1986,19,906.3247857,K45,LEPTODIAPTOMUS SICILIS,5
1986,19,277.446363,K45,DIACYCLOPS BICUSPIDATUS THOMASI,5
1986,19,18.4964242,K45,MESOCYCLOPS EDAX,5
1986,19,51.12964561,C9,DAPHNIA (HYALODAPHNIA) GALEATA MENDOTAE,5
1986,19,102.2592912,C9,LEPTODIAPTOMUS SICILIS,5
1986,19,818.0743297,C9,DIACYCLOPS BICUSPIDATUS THOMASI,5
1986,19,367.9247834,K42,DIACYCLOPS BICUSPIDATUS THOMASI,5
1986,19,15.33019931,K42,TROPOCYCLOPS PRASINUS PRASINUS,5
1986,19,364.8037356,C6,BOSMINA (BOSMINA) LONGIROSTRIS,5
1986,19,121.6012452,C6,EUBOSMINA (EUBOSMINA) COREGONI,5
1986,19,608.006226,C6,DIACYCLOPS BICUSPIDATUS THOMASI,5
1986,21,1208.361864,C6,BOSMINA (BOSMINA) LONGIROSTRIS,5
1986,21,201.393644,C6,DAPHNIA (DAPHNIA) RETROCURVA,5
1986,21,201.393644,C6,EUBOSMINA (EUBOSMINA) COREGONI,5
1986,21,805.5745761,C6,DAPHNIA SP.,5
1986,21,201.393644,C6,DIACYCLOPS BICUSPIDATUS THOMASI,5
1986,21,209.0082558,C9,BOSMINA (BOSMINA) LONGIROSTRIS,5
1986,21,209.0082558,C9,DAPHNIA (DAPHNIA) RETROCURVA,5
1986,21,209.0082558,C9,EUBOSMINA (EUBOSMINA) COREGONI,5
1986,21,418.0165117,C9,LEPTODIAPTOMUS MINUTUS,5
1986,21,836.0330233,C9,LEPTODIAPTOMUS SICILIS,5
1986,21,209.0082558,C9,DIACYCLOPS BICUSPIDATUS THOMASI,5
1986,21,209.0082558,C9,TROPOCYCLOPS PRASINUS PRASINUS,5
1986,21,75.22190462,K42,DAPHNIA (DAPHNIA) RETROCURVA,5
1986,21,150.4438092,K42,EUBOSMINA (EUBOSMINA) COREGONI,5
1986,21,75.22190462,K42,LEPTODIAPTOMUS MINUTUS,5
